food_types,bold_red,medium_red,light_red,rose,rich_white,light_white,sparkling,sweet_white,dessert
red_meat,2,1,0,0,0,0,0,0,0
cured_meat,1,1,2,1,0,0,1,2,1
pork,1,2,0,1,0,0,1,0,0
poultry,0,1,2,1,2,1,1,0,0
mollusk,0,0,0,0,0,1,2,0,0
fish,0,0,0,0,1,2,1,0,0
lobster,0,0,0,1,2,1,0,1,0
shellfish,0,0,0,1,2,1,0,1,0
grilled,2,1,1,0,0,0,1,1,0
barbecued,2,1,1,0,0,0,1,1,0
sauteed,0,0,2,1,1,1,1,0,0
fried,0,0,2,1,1,1,1,0,0
smoked,1,2,1,1,0,0,1,0,1
roasted,2,1,1,1,0,0,0,1,0
poached,0,0,0,0,1,2,1,1,0
steamed,0,0,0,0,1,2,1,1,0
soft_cheese_and_cream,0,1,2,1,2,1,1,1,1
pungent_cheese,1,2,0,1,0,1,1,1,2
hard_cheese,2,1,0,1,1,0,1,0,0
alliums,1,2,1,1,1,1,1,1,0
green_vegetables,0,0,0,0,0,2,1,0,0
root_vegetables,0,0,0,2,1,0,0,1,0
squash,0,0,0,2,1,0,0,1,0
nightshades,0,0,0,2,1,0,0,1,0
funghi,1,2,2,0,2,0,0,0,0
nuts,0,0,1,1,1,1,1,2,0
seeds,0,0,1,1,1,1,1,2,0
beans,0,1,0,1,0,2,1,0,0
peas,0,1,0,1,0,2,1,0,0
black_pepper,2,1,0,0,0,0,0,0,0
red_pepper,1,2,0,1,0,1,1,1,0
spicy,0,0,0,0,0,1,1,2,0
herbs,0,1,1,1,1,2,0,0,0
baking_spices,0,1,0,1,0,0,0,1,2
exotic_spices,0,2,1,1,0,0,1,2,0
aromatic_spices,0,2,1,1,0,0,1,2,0
white_starches,1,1,1,1,1,2,1,1,1
whole_what_grains,0,0,1,1,1,0,0,2,0
potato,1,1,1,1,2,1,1,2,0
fruit,0,0,0,0,0,0,1,2,1
berries,0,0,0,0,0,0,1,2,1
vanilla,0,0,0,0,0,0,0,2,2
caramel,0,0,0,0,0,0,0,1,2
chocolate,0,0,0,0,0,0,0,0,2
coffee,0,0,0,0,0,0,0,0,2
